"광고그룹 보고서(2026.05.12.~2026.05.18.),2416927"
캠페인유형,캠페인,광고그룹,일별,매체이름,PC/모바일 매체,검색/콘텐츠 매체,상세지역,노출수,클릭수,클릭률(%),평균 CPC,총비용,총 전환수,직접전환수,간접전환수,총 전환율(%),총 전환매출액(원),직접전환매출액(원),간접전환매출액(원),총 전환당비용(원),총 광고수익률(%),구매완료 전환수,구매완료 전환매출액(원),구매완료 광고수익률(%)
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 구로구,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 금천구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 노원구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 도봉구,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,서울특별시 도봉구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 동대문구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,서울특별시 동대문구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 동작구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 마포구,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 서대문구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 서초구,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 성북구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 송파구,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 종로구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 중구,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,서울특별시 중구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 중랑구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,세종특별자치시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,세종특별자치시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,울산광역시 남구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,울산광역시 북구,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,인천광역시 계양구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,인천광역시 남동구,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,인천광역시 미추홀구 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,인천광역시 서구,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
